Name	Description	Adress	Lat	Lon
СПБГУ	Общежитие	5 линия В.О., 66	59.948338	30.275649
СПБГУ	Общежитие	8 линия В.О., 77	59.947163	30.270914
СПБГУ	Общежитие	Шевченко 25, к2	59.936774	30.244731
СПБГУ	Общежитие	Шевченко 25	59.936911	30.243135
СПБГУ	Общежитие	Кораблестроителей 20, к1	59.943198	30.212543
СПБГУ	Общежитие	Кораблестроителей 20, к2	59.943422	30.213154
СПБГУ	Общежитие	Кораблестроителей 20, к3	59.943647	30.212524
СПБГУ	Общежитие	Капитанская 3	59.955286	30.216265
СПБГУ	Общежитие	Халтурина (Петергоф) 15, к2	59.882691	29.859463
СПБГУ	Общежитие	Халтурина (Петергоф) 15, к1	59.882283	29.858736
СПБГУ	Общежитие	Ботаническая (Петергоф) 64, к2	59.874935	29.830478
СПБГУ	Общежитие	Ботаническая (Петергоф) 64, к3	59.874935	29.830478
СПБГУ	Общежитие	Ботаническая (Петергоф) 64, к4	59.874935	29.830478
СПБГУ	Общежитие	Ботаническая (Петергоф) 66, к2	59.87513	29.827742
СПБГУ	Общежитие	Ботаническая (Петергоф) 66, к3	59.87513	29.827742
СПБГУ	Общежитие	Ботаническая (Петергоф) 70, к1	59.875761	29.826200
СПБГУ	Общежитие	Ботаническая (Петергоф) 66, к4	59.87513	29.827742
СПБГУ	Общежитие	Ботаническая (Петергоф) 70, к2	59.875761	29.826200
СПБГУ	Общежитие	Ботаническая (Петергоф) 70, к3	59.875761	29.826200
СПБГУ	Общежитие	Ботаническая (Петергоф) 70, к4	59.875761	29.826200
СПБГПУ (Политех)	Общежитие	ул. Политехническая, 29	60.007457	30.373046
СПБГПУ (Политех)	Общежитие	Политехническая ул., 21, корп. 9	60.000551	30.366294
СПБГПУ (Политех)	Общежитие	улица Хлопина, 9, корп. 2	59.999283	30.371829
СПБ НИУ ИТМО	Общежитие	переулок Вяземский, д.5-7	59.972865	30.301494
СПБ НИУ ИТМО	Общежитие	Серебристый бульвар, д.29, корпус 1	60.011528	30.285427
СПБ НИУ ИТМО	Общежитие	Альпийский переулок, д.15, к.2	59.851231	30.376767
СПБ НИУ ИТМО	Общежитие	ул.Белорусская, д.6	59.936505	30.500047
СПБ НИУ ИТМО	Общежитие	ул.Ленсовета, д. 23	59.848152	30.329407
СПБ НИУ ИТМО	Общежитие	Яковлевский переулок, д.7, к.1	59.873653	30.325010
СПБ НИУ ИТМО	Общежитие	Новоизмайловский пр., д. 16	59.869657	30.308008
СПБ ГЭУ ЛЭТИ	Общежитие	1-й Муринский пр., д. 1	59.987372	30.330491
СПБ ГЭУ ЛЭТИ	Общежитие	Студенческая ул., д. 3	59.985661	30.331207
СПБ ГЭУ ЛЭТИ	Общежитие	Новоизмайловский пр., д. 16, к. 2	59.870351	30.307544
СПБ ГЭУ ЛЭТИ	Общежитие	наб. реки Карповки, д. 34	59.969692	30.299754
СПБ ГЭУ ЛЭТИ	Общежитие	пр. Испытателей, д. 10	60.003688	30.287612
СПБ ГЭУ ЛЭТИ	Общежитие	Торжковская ул., д. 15	59.991096	30.318611
СПБ ГМУ им Павлова	Общежитие	Петроградский район, ул. Большая Монетная 34	59.964008	30.328421
СПБ ГМУ им Павлова	Общежитие	Петроградский р-н, ул. Рентгена 10	59.966150	30.328797
СПБ ГМУ им Павлова	Общежитие	Фрунзенский район, ул. Бухарестская 148	59.831580	30.421651
СПБ ГМУ им Павлова	Общежитие	Приморский район, ул. Маршала Новикова 15 корп.2	60.015540	30.272564
ГОРНЫЙ 	Общежитие	Малый проспект В.О., дом 38-40	59.944397	30.265789
ГОРНЫЙ 	Общежитие	улица Шкиперский проток, дом 5	59.934261	30.242128
ГОРНЫЙ 	Общежитие	улица Наличная, дом 46, корпус 1	59.953002	30.232809
ГОРНЫЙ 	Общежитие	Морская набережная, дом 15, корпус 3	59.941696	30.209607
ГОРНЫЙ 	Общежитие	улица Кирочная, дом 56	59.942875	30.380817
ГОРНЫЙ 	Общежитие	улица Наличная, дом 28/16	59.941308	30.231105
СЗ ГМУ им Мечникова	Общежитие	пр. Просвещения, д. 45	60.045417	30.367961
СЗ ГМУ им Мечникова	Общежитие	пр-т Светлановский д.62/2	60.038075	30.394657
СЗ ГМУ им Мечникова	Общежитие	пр-т Пискаревский 47/45	59.980831	30.427532
РГПУ им Герцена	Общежитие	Лиговский пр., д. 275	59.904255	30.341366
РГПУ им Герцена	Общежитие	Пр. Стачек, д. 30	59.888611	30.273368
РГПУ им Герцена	Общежитие	Новоизмайловский пр., д.5	59.873665	30.302856
РГПУ им Герцена	Общежитие	Наб. р. Мойки, 48, кор. 7	59.935283	30.319779
РГПУ им Герцена	Общежитие	Ул. Казанская, д. 6	59.933004	30.322587
СПБГЭУ	Общежитие	Новоизмайловский пр., д.16, к2	59.870283	30.307726
СПБГЭУ	Общежитие	Лесной пр-т, д. 65	59.987236	30.347255
СПБГЭУ	Общежитие	Чкаловский пр., д. 27	59.965896	30.299124
СПБГЭУ	Общежитие	пр.Косыгина, д. 19/2	59.944033	30.481959
СПБГЭУ	Общежитие	Воронежская ул., д. 69	59.909899	30.342808
СПБГЭУ	Общежитие	Воронежская ул., д. 38	59.914631	30.347985
СПБГЭУ	Общежитие	Рабфаковская ул., д. 3	59.857312	30.475276
СПБ ГУАП	Общежитие	проспект Маршала Жукова, 24	59.860366	30.235451
СПБ ГУАП	Общежитие	улица Передовиков, 13	59.941459	30.466998
СПБ ГУАП	Общежитие	улица Варшавская, 8	59.877941	30.313705
СПБ ГУАП	Общежитие	Кузнецовская, 9	59.871292	30.308359
СПБ ГТИ	Общежитие	ул. Здоровцева, дом 14,	59.837889	30.162805
СПБ ГТИ	Общежитие	ул. Здоровцева, дом 12	59.838533	30.163141
СПБ ГТИ	Общежитие	ул. Пионерстроя, дом 14, кор.3	59.838330	30.134027
СПБ ГТИ	Общежитие	Яковлевский пер., дом 8	59.873294	30.324312
СПБ ГТИ	Общежитие	ул. Трефолева, дом 1	59.886867	30.288073
СПБ ГТИ	Общежитие	ул. Стойкости, дом 21	59.828023	30.208260
